State,City,%medianIncome,%highSchoolAbove25,%belowPoverty,%White,%Black,%NativeAmerican,%Asian,%Hispanic,ID
HI,Royal Kunia CDP,103649,91.2,2.6,12,1.8,0.2,58.4,7.5,CS5275
HI,Schofield Barracks CDP,52934,97.3,8.6,60.2,15.3,1.5,3.2,17.3,CS5276
HI,Urban Honolulu CDP,61442,88.2,12,17.9,1.5,0.2,54.8,5.4,CS5277
HI,Volcano CDP,50543,88.5,18.8,51.5,0.7,0.4,11.6,8.8,CS5278
HI,Wahiawa CDP,56022,89.2,14.9,11.4,1.6,0.3,40.7,13,CS5279
HI,Waialua CDP,68167,82.8,7.6,21.4,0.2,0.2,45.5,10.3,CS5280
HI,Waianae CDP,60345,84.1,29,8.3,0.8,0.2,14.5,15.9,CS5281
HI,Waihee-Waiehu CDP,87500,88.1,7.9,12.2,0.2,0.2,38.3,9.8,CS5282
HI,Waikane CDP,73750,90.6,13.7,17.1,0.6,0.1,16.2,7.8,CS5283
HI,Waikapu CDP,91447,94.4,4.4,23.7,0.4,0.5,33.9,10.6,CS5284
HI,Waikele CDP,95224,96.2,1,16,2.7,0.2,54.1,7.4,CS5285
HI,Waikoloa Village CDP,74217,95.8,7.5,47.1,0.7,0.8,16.1,10.2,CS5286
HI,Wailea CDP,59902,95.8,16.7,78.1,0.7,0.4,8.8,6.9,CS5287
HI,Wailua CDP,54594,91.7,10.1,33.1,0.6,0.2,31.8,10,CS5288
HI,Wailua Homesteads CDP,69527,93.6,8,46.5,0.4,0.3,21,8.6,CS5289
HI,Wailuku CDP,69768,91.2,12.7,21,0.6,0.3,37.2,10.3,CS5290
HI,Waimalu CDP,71486,93.7,6.6,17.3,2.7,0.3,49.2,8.5,CS5291
HI,Waimanalo CDP,68398,92,24.3,12.3,0.3,0.2,23.8,11.2,CS5292
HI,Waimanalo Beach CDP,73750,90.5,9.2,9.2,0.2,0.1,4.2,7.6,CS5293
HI,Waimea CDP (Hawaii County),58941,93,13.6,31.2,0.3,0.2,17.3,9,CS5294
